Company,Revenue_M$,EBITDA_M$,EBITDA_Margin,Revenue_Growth_1yr,Revenue_CAGR_3yr,EBITDA_Growth_1yr,EBITDA_CAGR_3yr,Gross_Margin,Net_Margin,ROA,ROE,ROIC,Debt_M$,Equity_M$,Debt_to_EBITDA,Debt_to_Equity,Current_Ratio,Quick_Ratio,Interest_Coverage,Working_Capital_M$,Capex_to_Sales,Free_Cash_Flow_Margin,Asset_Turnover,Inventory_Turnover,DSO,DPO,DIO,Cash_Conversion_Cycle,Customer_Concentration,Employee_Count,Revenue_per_Employee,IRR_Y5
Company_00001,380.79,68.92,0.181,0.192,0.141,-0.021,0.239,0.645,0.032,0.165,0.269,0.166,84.77,287.24,1.23,0.3,1.83,0.69,2.9,7.62,0.094,0.175,0.59,2.35,47.0,37.9,82.9,92.0,0.175,1850,205832.0,0.208
Company_00002,951.21,158.85,0.167,-0.026,0.088,-0.143,0.098,0.729,0.252,0.038,0.277,0.155,262.1,1248.17,1.65,0.21,1.11,1.66,9.61,19.02,0.065,0.067,1.55,10.96,57.5,65.8,47.6,39.3,0.073,382,2490079.0,0.128
Company_00003,734.67,82.28,0.112,0.039,0.239,-0.124,-0.022,0.478,0.09,0.19,0.145,0.12,295.39,702.55,3.59,0.42,2.26,1.42,12.39,14.69,0.04,0.083,0.72,8.32,36.0,69.1,26.1,-7.0,0.374,412,1783180.0,0.106
Company_00004,602.67,158.5,0.263,0.165,0.016,-0.092,0.195,0.374,0.1,0.17,0.108,0.149,1058.78,1199.74,6.68,0.88,1.42,1.47,11.94,12.05,0.089,0.135,1.81,3.71,56.8,68.4,27.4,15.8,0.298,3942,152884.0,0.089
Company_00005,164.46,35.69,0.217,0.093,0.126,-0.078,0.067,0.391,0.083,0.185,0.098,0.123,51.75,273.33,1.45,0.19,1.68,0.87,12.89,3.29,0.066,-0.011,0.91,4.3,42.2,51.4,58.3,49.1,0.361,4914,33468.0,0.261
Company_00006,164.43,58.04,0.353,0.195,0.16,-0.055,0.138,0.618,0.255,0.064,0.27,0.182,309.35,258.94,5.33,1.19,1.36,1.41,14.73,3.29,0.045,-0.028,1.08,11.14,46.7,66.8,26.6,6.5,0.296,3297,49873.0,0.216
Company_00007,67.5,4.12,0.061,0.284,0.198,-0.047,-0.057,0.541,0.294,0.074,0.108,0.217,16.64,34.56,4.04,0.48,2.49,1.62,14.95,1.35,0.074,0.015,1.03,10.57,58.7,45.0,57.0,70.7,0.277,4545,14851.0,0.244
Company_00008,867.51,238.57,0.275,-0.053,0.072,0.073,0.153,0.492,0.231,0.099,0.183,0.207,634.6,2812.99,2.66,0.23,2.11,0.97,7.34,17.35,0.087,0.171,1.29,8.47,83.2,20.2,69.0,132.0,0.21,4540,191081.0,0.13
Company_00009,605.1,191.82,0.317,0.184,0.156,0.106,0.049,0.322,0.251,0.053,0.133,0.118,556.28,2260.1,2.9,0.25,1.4,1.92,8.53,12.1,0.012,0.164,1.27,3.16,64.7,22.8,23.2,65.1,0.238,1687,358684.0,0.25
Company_00010,710.99,224.67,0.316,-0.008,0.041,-0.015,0.034,0.725,0.194,0.098,0.175,0.152,256.12,1379.99,1.14,0.19,1.39,1.06,8.48,14.22,0.037,-0.02,1.23,9.34,31.1,44.8,46.5,32.8,0.235,4179,170134.0,0.199
